"﻿Customer Name","Customer Country","Description of the Customer's AI Use Case(s)","Opportunity Size V2",Status,Maturity,"Importance Classification","Priority - CoE Priotization","AI CoE Lead","AI Co-Prime",Specialist,"Opportunity ID",Region,"Slack Channel",Date,"Submitter Slack Email",Submitter,Comments,Proposal,Canvas,Partner,"Last communication"
"National Bank of Romania",Romania,"Customer has invited us to compete in a POC exercise against other vendors to propose a Conversational Chatbot solution. We need assistance on identifying best the components of such an architecture (ODA, GenAI, custom RAG, LangChain, etc). We have a short deadline, we need to show the POC by end of this calendar year.","<= $100K",Complete,Proposal,"Tier 1 - Incoming Engagement",,"andreas.stellatos@oracle.com, cristina.lemnaru@oracle.com",,"alexandru.negrea@oracle.com, anshuman.p.panda@oracle.com, marc.gueury@oracle.com, maurits.dijkens@oracle.com",A7PVRS,,C081RNXR0H2,2024-11-20T10:44:26Z,roxana.i.chiriacescu@oracle.com,roxana.i.chiriacescu@oracle.com,"Project/MVP complete with great results, Cristina has been working on this since Specialist team tenure. Awaiting next steps",,,,
"ISLAMCI UNIVERSITY _ Medina","Saudi Arabia","Introduction to Oracle OCI/GenAI/GenAI Agents and the Trends in AI for Universities. Understanding Islamic University's Digital Transformation Pain Points.","<= $100K",Active,Solutioning,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",osama.alhaj-issa@oracle.com,,A7W5CS,MEA,C087BND7EH5,"January 6th, 2025 at 7:33 AM UTC",U07UKNN069Y,mahmoud.soubra@oracle.com,,,,,
"Access Bank",Kenya,"Hello team! The customer is interested to know do we have any projects or use cases with AI for CyberSecurity&Fraud Detection in FSI industry?","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,TBD,MEA,,"December 23rd, 2024 at 12:48 PM UTC",U03SQ16GADS,ekaterina.tyuleneva@oracle.com,,,,,
"Access Bank",Kenya,"Hi team! Do we have any use cases and projects with Customer segmentation, analyzing of customer behavior, next best offer for FSI?",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,,,,TBD,MEA,,"December 23rd, 2024 at 12:51 PM UTC",U03SQ16GADS,ekaterina.tyuleneva@oracle.com,,,,,
"Sharqia Development Authority","Saudi Arabia","The Customer is implementing GIS on OCI and they are looking for AI use cases",<=$500K,Active,Qualification,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",osama.alhaj-issa@oracle.com,,A43CCJ,MEA,C08P3QV69FC,"December 25th, 2024 at 11:33 AM UTC",U041MM8M4BS,reem.hassounah@oracle.com,,,,,
"UMM EL QURA UNIVERSITY","Saudi Arabia","An ML POC for Students Marks Prediction.

Working with AI CoE / Mohammed Hafeez on this opportunity and POC.","<= $100K",Active,Solutioning,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",osama.alhaj-issa@oracle.com,,A7S5NC,MEA,C087X50PCF4,"December 25th, 2024 at 6:17 PM UTC",U07UKNN069Y,mahmoud.soubra@oracle.com,,,,,
"Cairo Three A for Agriculture And animal production",Egypt,"Looking for AI use case in livestock farming and Animal production, customer would like to utilize AI in his business of bird farming and looking for AI session in this area. example of OCI Vision to Monitoring bird movement, health, size, environment, etc ..","<= $100K",Inactive,Discovery,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,A6NJT7,MEA,,"December 30th, 2024 at 10:47 AM UTC",W69FDMLLU,mohamed.tohamy@oracle.com,"After initial discussions with the account team, there was no further update.",,,,
"DP World Global","United Arab Emirates","DP World Global is looking for following use-cases to optimize their business operations; Mohammed Hafeez is already working with us on below requirement.

1.	Yard space management and optimization – The expectation here is to optimize yard space to accommodate new containers and rollout existing containers in the yard or terminal
2.	Container payload optimization – the expectation is to make sure maximum payload in each container by optimizing space  and
3.	Ports operations optimization – the expectation is to automate and / or optimize port operations",<=$500K,Complete,Discovery,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A7RFD5,MEA,C0882AU7M1R,"January 2nd, 2025 at 8:30 AM UTC",U05TPMTUQEQ,santosh.r.shukla@oracle.com,,,,,
"Cronos - Fluvius",Belgium,"Fluvius is Belgian's largest utilities company, responsible for the electricity and gas network management. Via our partner Cronos, who has several consultants on-site, we would like to start an AI project. The starting point would be an AI Workshop and from there going into a possible PoC for a business case.","<= $100K",Inactive,Unqualified,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,A6TN7Q,West,C087KHDU3TQ,"January 2nd, 2025 at 12:47 PM UTC",WBP2C5UKT,christian.vanden.balck@oracle.com,,,,,
"Water & Electricity Regulatory Authority","Saudi Arabia","Customer wants to explore GenAI use cases relevant to their Industry. Based on this planned explore workshop, we will mutually identify the key two to three pain points based on which we can build towards a potentially co-create workshop, leading to identifying a solution/architecture.","<= $100K",Inactive,Discovery,"Tier 1 - Incoming Engagement",,"muhammad.k.manzoor@oracle.com, aseel.addawood@oracle.com",mahmoud.soubra@oracle.com,,TBC,MEA,,"January 6th, 2025 at 8:53 AM UTC",U07UKNN069Y,mahmoud.soubra@oracle.com,"After initial discussions with the account team & customer, there was no further update.",,,,
GTech,Turkey,"Supporting ISV with POC issue they are running for a RAG usecase with Oracle Database 23 AI & OCI Generative AI Endpoint. Already helped them and they went past this and now enriching their ERP related RAG soln",<=$500K,Inactive,Solutioning,"Tier 1 - Incoming Engagement",,andreas.stellatos@oracle.com,,,,,,,,andreas.stellatos@oracle.com,"Pending update from Sales/ACE team.",,,,
"AI Test Drive",UAE,"This is an Event targeted on our AI and Gen AI offering.  We will be requiring an overview of our AI and Gen AI offering followed by a hands on Lab.  There are multiple customers involved and expected 20+ confirmed registrations.  Hafeez has been engaged with a few hence we require his presence to deliver the AI session.",<=$500K,Complete,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,"AI session",MEA,,"January 6th, 2025 at 9:17 AM UTC",WR3GQG1J9,muhammad.ansari@oracle.com,,,,,
"Channel Four Television Corporation",UK,"Video content analysis",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,adrian.james@oracle.com,"cristina.lemnaru@oracle.com, ali.ottoman@oracle.com",,,C07MYBCSDV4,,ravi.summan@oracle.com,ravi.summan@oracle.com,,,,,
"Public Power Corporation (PPC)",Greece,"We have an Al GPU infrastructure use case for LLM training competing against on-premises (non-cloud) DC deployment of Supermicro GPU and CPU servers. Customer has shared model types and BoM and we need to compile an OCI BoM and counter the offer ideally before Xmas break",<$5M,Active,Proposal,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, andreas.stellatos@oracle.com",,"tomasz.jozefiak@oracle.com, marius.scholtz@oracle.com, nitin.satpute@oracle.com",A72PLR,,C085PGX0Z7C,,,stavros.fotiadis@oracle.com,"This is submitted as a proposal and purely at the hands of Sales team. Not finished yet.",,,,
Jumbodiestet,Netherlands,"Timestamp is involved in a project at Jumbo Diset and they would like to understand the specific cost for the Document Understanding service, particularly for processing 12,000 AP invoices annually. 
They were referring to the pricing details outlined here: Oracle Document Understanding Pricing.
Could you please help me with a quote for this scenario?","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,-,SMB,,"January 6th, 2025 at 9:50 AM UTC",WQ45U1V33,raquel.fernandez.grau@oracle.com,,,,,
"Posten Bring",Norway,"Posten Bring (Norwegian Post) has reached out to us with description of a usecase related to Profitability forecasting. Need assistance in qualifying the usecase and run an initial workshop with the customer.

Description from customer (complete document can be shared)

PostenBring wants to enhance the financial profitability forecasting and planning process for products and services. We need to better predict the profitability of our services, and improve our models for forecasting and price simulations, and being able to automate and streamline the process of collecting and preparing data for cost allocations and forecasting to achieve better profitability forecasts.
Can AI helps maximizing our profits by delivering:
1)	better and more accurate profitability forecasts by analysis of historical costs and sales data, market trends and customer behaviors?
2)	better insights by use of natural language prompts for cost and resource allocations by automatically pulling data from our ERP/CRM and other needed systems?
By making use of AI for enhanced data analysis that involves leveraging sophisticated algorithms to process and analyzing our large volumes of data, we expect AI to help maximizing our profitability.","<= $100K",Paused,,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,A7WCXJ,North,C086ZSB2GNB,"January 6th, 2025 at 10:37 AM UTC",W72SP8HS7,audun.hoff@oracle.com,,,,,
"Higher College of Technology",UAE,"working with the customer to identify & position AI use cases for back-office applications and Academics.","<= $100K",Inactive,Qualification,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,A7TBQN,MEA,C08463YT8MD,,fatih.k.keles@oracle.com,fatih.k.keles@oracle.com,"I presented the customer with Academic and non-academic AI use cases through multiple workshops, but after that, the customer decided to first go for the embedded AI features of the fusion apps",,,,
Injazat,"United Arab of Emirates","Deploying JAIS to Injazat","<= $100K",Complete,Discovery,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A55BCK,MEA,,"January 7th, 2025 at 11:50 AM UTC",U03Q70N527P,ahmed.m.soliman@oracle.com,,,,,
"NHS Genomics Digital Platform",UK,"A new Tender on Genomics Analysis Platform Services for NHSBT has been issued and support from AI CoE is needed in order to provide & submit the right solution from our AI portfolio through collaboration with the UK Public Sector Healthcare sales/ACE team. Tender submission deadline Jan.13th","<= $100K",Inactive,"Lost Deal","Tier 1 - Incoming Engagement",,"srinivas.karri@oracle.com, jomon.kunnel@oracle.com, andreas.stellatos@oracle.com",,,,West,C08522607MX,,,darren.killoran@oracle.com,,,,,
"Experian UK","United Kingdom","HR Sandbox for NLQ using Apex
HR Document RAG","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A7Q7L5,West,C087UMK4AF3,"December 19th, 2024 at 2:19 PM UTC",WKNMKG2CT,pankaj.b.sharma@oracle.com,,,,,
Marcura,UAE,"AI/ML and GenAI. hafeez is already engaged with the customer","<= $100K",Complete,Qualification,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A75ZLX,,C08D84LL94P,2024-12-06T07:08:54Z,tareq.alawneh@oracle.com,tareq.alawneh@oracle.com,,,,,
"Czech University of Agriculture",Czechia,"Background
- CZU (Czech University of Agriculture) is state owned university focus on agriculture studies
- CZU is currently exploring use of AI / ML / GPUs in agriculture and agriculture innovation and research

We seek guidance
1. what we can offer to agriculture university
2. what are trends in agriculture AI

AE for this opportunity is Petr Pachovsky","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,12/19/2024,,jiri.kram@oracle.com,,,,,
Valeo,France,"Hi CoE team,
I would like to know if you could help to follow a PoC to maximize the conversion to prod chances?
We are currently discussing with Valeo to scale their MLops pipeline with OCI AI Infrastructure and third party SW (ClearML) on top
Thanks",<=$500K,Paused,Discovery,"Tier 2 - Advanced Engagements",,frank.riemer@oracle.com,philippe.s.saade@oracle.com,,A7H38N,South,C085859CLNR,12/19/2024,,david.coulombel@oracle.com,,,,,
"Sunrise GmbH",Switzerland,"Speaker for an internal customer AI event (AI & Innovation Days), where strategic partners are invited to speak in front of senior members of the management team",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,,,,10/9/2024,sorana.dorey@oracle.com,sorana.dorey@oracle.com,,,,,
Kyndryl/Belfius,Belgium,"Belfius is partnering with Mistral",$5M+,Inactive,Discovery,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A4WVR2,MEA,C0874KW4FM5,12/19/2024,,vincent.guinee@oracle.com,test,,F08883LQ456,,
"Nordic DSML Summit in Stockholm",Sweden,"""I'm looking for demo/presentations we do on stages/booth. We have a 30 minute session on our booth that should include a technical demo. It should be within the data science/ai/genai domain.

Anyone has ran something like that before that I could take inspiration from? Or if you have something prepared already.

Summit: https://ndsmlsummit.com/""","<= $100K",Complete,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,10/9/2024,daniel.j.johansson@oracle.com,daniel.j.johansson@oracle.com,,,,,
AtlantaSanad,Morocco,"Customer developed a model running on prem compute and Meta Llama 3.2 vision model. We are now pushing a move to OCI GPU.
They asked us to provide benchmark data, or pointers to the performance of Llama 3.2 vision workloads on H100, L40, and A100 GPU's.
This data will be key on convincing to the move to OCI.",<=$500K,Inactive,Discovery,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A7P87L,MEA,,12/19/2024,,hicham.benbella@oracle.com,,,,,
"Kenya Airways ",kenya,"dw modernatization, AI to drive efficiency, reduce cost and increase revenue. specific use cases not yet agreed although a number have been mentioned e.g. financial reporting, fuel consumption optimization etc",<=$500K,Inactive,Qualification,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,n/a,MEA,C085DMYAS0P,12/19/2024,,jomon.kunnel@oracle.com,,,,,
"ID Business Solutions (IDBS)",UK,"Spoke with Srinivas Karri about this opp. 

Will arrange a short internal call, ahead of a possible meeting with the CTO on 8th Jan. Details are a bit vague at the moment, but this follows up a presentation on GenAI (Chatbot) & Vector Databases.

In the ISV division, weâ€™ve got an AI opportunity with IDBS (owned by Danaher), who use ODB for Data Management solutions in Pharma drug lifecycle - R&D to Manufacturing. They want to build AI add-ons to their products to help Pharmas get to market faster.
 
At this point, Iâ€™m not sure we need direct input from AI CoE, but wondered if you were aware of any AI implementations in Oracle Healthcare / Cerner that might be appropriate â€“ if so, could you recommend a couple of people to speak with? We did engage with the AI specialists a couple of months ago, but they didnâ€™t have any Healthcare use cases they were able to share.",<=$1M,Inactive,Discovery,"Tier 1 - Incoming Engagement",,srinivas.karri@oracle.com,,,A7QGL6,SMB,C085AS0HW86,12/19/2024,,steve.p.brant@oracle.com,,,,,
"Piraeus Bank - AI Use cases",Greece,"Piraeus Bank is the leading Bank in Greece. They are employing OCI to host critical workloads and as one of the two cloudification pillars and recently signed with Oracle an MOU to co-innovate in the areas of Digital Banking and AI. Piraeus wants to work with us initially on three use cases relevant to 1) RAG agents  for internal business use cases, 2) AI Assistant for Transaction Banking use cases (they use FSGBU modules), and AI Assistant for their Personal Finance Manager platform.",<=$500K,Active,Solutioning,"Tier 1 - Incoming Engagement",,"andreas.stellatos@oracle.com, jomon.kunnel@oracle.com",,martijn.de.grunt@oracle.com,A55XYP,"North East",C0856RDML07,12/19/2024,,andreas.stellatos@oracle.com,"Active usecases from Advanced Personal Finance Management GenAI solution. Kicked off various workshops on Advanced PFM and about to kick off a PoC/MVP. Heavily experienced partner to be involved. Part of the GenAI use cases for OCI at one of the biggest cloud customers in CEE.",,,,
"SSE UK",UK,"Primarily predictive analytics, and RAG agents",<=$500K,Inactive,Qualification,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,,West,C084ERX6NJX,17/12/2024,,matt.sharp@oracle.com,,,,,
Equans,France,"Hi team. The AI project manager of Equans would like someone from Oracle to present the different AI related services in the OCI console. Please let us know if you need any additional information.","<= $100K",Paused,Solutioning,"Tier 2 - Advanced Engagements",,frank.riemer@oracle.com,,"cristina.varas@oracle.com, martijn.de.grunt@oracle.com, omar.s.salem@oracle.com",A7T6RG,South,C085Y827JG0,12/19/2024,,charles.pokrywa@oracle.com,,,,,
Artur'in,France,"Artur'in is a company that handles social media presence for entrepreneurs (real estate, lawyers, dentists, accountants etc). They've been working with AI since 2017 so their AI knowledge is very mature. They're trying to acquire key accounts now, moving from SMB to major player.
The company already does 'compartmentalised model training' for specific use cases, using OpenAI. They finetune on personas (lots of different AI assistants), follow/target likes & comments on posts, do procpect discovery on LinkedIn, automate social media posts based on customer input. They presently have 5 content managers for 4000 clients --> AI does the rest. Their goal is to present the product to the end customers with as much as possible self-service processes.
They would be interested in our GenAI services if they're more cost-effective than their current setup.
They also use cheap GPUs because the models are compartmentalised, allowing for less compute allocation and running at night.",<=$500K,Inactive,Discovery,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,"No oppy ID yet",West,C0864JNBQ4Q,12/19/2024,,ethan.saporta@oracle.com,,,,,
Aiconix,Germany,"My customer wants a general presentation on managed LLMs and inference. They want to understand how they can use them to improve their current products.","<= $100K",Complete,Qualification,"Tier 2 - Advanced Engagements",,frank.riemer@oracle.com,,,A7LCFF,North,C0864M54R8Q,12/19/2024,,frank.riemer@oracle.com,"• Provided Customer GenAI Service overview
• Enablement on EU AI Act with Security specialist",,,,
"Ezdihar Financial bank","Saudi Arabia","Ezdihar Financial Bank, a digital bank, is currently implementing their operations on OCI infrastructure. To support them in increasing their consumption and optimizing their committed spend, they are requesting use cases that demonstrate how AI on OCI has been successfully leveraged by similar digital banks. These use cases should highlight tangible value added to operations and improvements in ROI.",<=$500K,Inactive,Discovery,"Tier 1 - Incoming Engagement",,"pankaj.b.sharma@oracle.com, aseel.addawood@oracle.com",,,A7JXGX,MEA,C0884JWSS7J,12/19/2024,,reem.hassounah@oracle.com,,,,,
MUFG,"United Kingdom","Gen AI for procurement and supplier Portals
ODA integration with Gen AI services in OCI
Finance LLM discussions with the customer","<= $100K",Active,Proposal,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A72VVR,West,C0852QHJ9J8,"December 19th, 2024 at 12:50 PM UTC",WKNMKG2CT,pankaj.b.sharma@oracle.com,,,,,
"Vodafone UK","United Kingdom","Celfocus AI use case for Network operations
An AI-driven solution integrating NL to SQL querying and RAG  to provide network engineers with fast, accurate, and context-rich responses.","<= $100K",Inactive,Proposal,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A7VNHL,West,C082ATUTBU2,"December 19th, 2024 at 12:52 PM UTC",WKNMKG2CT,pankaj.b.sharma@oracle.com,,,,,
"Suffolk County Council","United Kingdom","'Finmate' finance Partner solution with Generative AI on Data Science Quick Actions Model Deployment","<= $100K",Active,Proposal,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A79WXM,West,,"December 19th, 2024 at 12:53 PM UTC",WKNMKG2CT,pankaj.b.sharma@oracle.com,,,,,
"Schroders UK","United Kingdom","Custom RAG solution for Oracle HR Fusion","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A6L669,West,,"December 19th, 2024 at 12:54 PM UTC",WKNMKG2CT,pankaj.b.sharma@oracle.com,,,,,
Zedas,Germany,"Customer Zedas which we are already in contact was interested in a much deeper dive in ALL AI Services.
https://www.zedas.com/de/

We are in contact with Alexander Fischer <afischer@zedas.com>","<= $100K",Inactive,Qualification,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,Stalled,,C0825TL4YN8,2024-11-20T12:56:15Z,patrick.agreiter@oracle.com,patrick.agreiter@oracle.com,"1. Delivered AI Overview session on 20 Dezember",,,,
"Dream Games Developers",Turkey,"Hi team, 
I would like your help to create a value proposition for customer Dream Games in Turkiye. Is this something I can work on with you?",<=$500K,Inactive,Unqualified,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A7SH4L,,,2024-11-20T10:47:16Z,michael.deijs@oracle.com,michael.deijs@oracle.com,,,,,
"Emirates Post Group","United Arab Emirates","They are interested in all AI Use Cases we can deliver for ERP systems","<= $100K",Inactive,Qualification,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,Exploratory,MEA,C087V83L0LD,"January 8th, 2025 at 7:00 AM UTC",U05P9PEMYEA,alexander.osman@oracle.com,"I presented a session to the head of IT and applications regarding various AI use cases that can be applied to the fusion application to extend the AI capabilities.",,,,
M&G,EMEA,"Large investment management firm, customer, in the UK migrating Oracle databases to OCI, including pensions data. We have the opportunity to present AI uses cases and art of the possible to the pensions management segment of their business - they invest funds in various assets, including equities, bonds, and real estate. Can anyone assist with relevant use cases?",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,,,,,,,2024-10-31T14:24:10Z,adeal.ahmed@oracle.com,adeal.ahmed@oracle.com,,,,,
"Abu Dhabi Media",MEA,"AI Editorial Assistant for Media Organization with the Gen AI.
Summarize articles to extract key takeaways from news articles and create news broadcast-style content based on selected articles.
Generate new articles by synthesizing existing knowledge (organizational data) with selected content. These generated articles to published into audio files, with the option to pre-train specific voices for broadcast.
Creation of an avatar-based news broadcaster for the generated content, with the possibility of pre-training avatars.","<= $100K",Active,Solutioning,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,A7S4YP,MEA,C088RNYLBLK,2024-10-24T06:58:26Z,muhammad.k.manzoor@oracle.com,shabbir.vohra@oracle.com,"Broader engagement on Gen AI and two specific solutions for the media agency from the partners: 1 - Generating media stories with Gen AI and presenting them with the newscaster avatars. 2- Media censorship with the help of AI. POCs are in progress on customer tenancy.",,,,
Dataprophet,"South Africa","The customer is looking for Oracle to partner with on the AI/ML in the manufacturing industry, from Predictive analysis, forecasting, chatbot and Optimization of products. We are already working with Mohammed Hafeez , we are planning to have a customer meeting next week.","<= $100K",Complete,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,2024-10-29T08:51:36Z,vongani.khumalo@oracle.com,vongani.khumalo@oracle.com,,,,,
Hardis,South,"Into Oracle Generative AI Agents:
-if answers are not completely accurate or don't like them, may the customer tune the responses?
-if documents have different versions, what would be the best governance model to maintain different versions of those documents as part of the knowledge base?","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,,,,2024-10-29T09:12:15Z,antonio.gomez.rodriguez@oracle.com,antonio.gomez.rodriguez@oracle.com,,,,,
"Public Prosecutions Department - Govt of Qatar",Qatar,"ACE of the account reached out to me deliver an AI Overview session to the customer.  This would be an initial session to showcase the potential of OCI AI Platform and discover relevant use-cases.","<= $100K",Complete,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,2024-10-29T12:41:02Z,mohammed.hafeez@oracle.com,stavros.fotiadis@oracle.com,,,,,
OneBonsai,"EMEA - West","Use of digital communication and AI in all its applications within the Healthcare sector.
Digital version of patient that you interact with that has vital signs on GPU's. 
More likely use the cloud a bit more to design the digital version based on genAI to generate this model.
Also uses text to speech.
They now have a demonstrater running, discussion with clients right now to see if business case make sense.
At this point this is still project phase. 
Now validating to make a saas product out of it. Main clients right now are university and hospitals to train students or nurses to diagnose patients based on virtual diseases. 
Generate model based on prompt (eg. certain disease). 
Once figured out this month, than continue with development based on feedback.
Now 2 L40S (2 GPU's on 1 server) systems locally running (purchased).
Next call would be into infra needs again and discounts.","<= $100K",Active,Qualification,"Tier 1 - Incoming Engagement",,"jomon.kunnel@oracle.com, mohammed.hafeez@oracle.com",,,,,C087RAC9G9G,2024-10-29T14:14:50Z,yannick.arys@oracle.com,yannick.arys@oracle.com,,,,,
"EANI (Fujitsu)",EMEA,"Spoken to Ismail Syed & Jomon Kunnel.
AI for Ebusiness Suite cases: 
- Requisition Anomalies 
- Invoice Anomalies 
- ERP Forecasting 
- HR Auditing",<=$500K,Inactive,Unqualified,"Tier 1 - Incoming Engagement",,"jomon.kunnel@oracle.com, mohammed.hafeez@oracle.com",,,,,C08LBQT729X,2024-10-29T16:29:52Z,leah.hadeed@oracle.com,leah.hadeed@oracle.com,,,,,
Eyeball.club,"Growth Markets - North East","Eyeball.club, a Czech-based sports tech company founded 4 years ago, focuses on transforming youth talent scouting for professional football. The company uses AI-driven data analytics, computer vision, and video analysis to digitalise the scouting process. This technology allows football clubs to evaluate young players' potential, providing real-time performance insights from full-match videos. Eyeball.club has already partnered with over 100 clubs, including top-tier leagues like the Premier League, Bundesliga, Ligue 1 and MLS.
I started to engage with the CEO of Eyeball, after I found out that they recently successfully closed a $5M funding round. 
Eyeball currently doesn't use much of AI in their core solution, they are basically providing data driven insights (video) with advanced data analytics on a web-platform and mobile app -- enabling scouts, coaches and players to efficiently monitor and review performances.

The CEO wants to understand, how AI can help them to get a strategic view on their data, how they can better analyse their data, how they can use the vast amount of data to develop new services which they can offer to their customers. In short, fine tuning an LLM. 

I agreed with the CEO to meet for a follow up meeting with an AI expert and discuss how we can possibly support their AI journey.","<= $100K",Paused,Solutioning,"Tier 2 - Advanced Engagements",,"frank.riemer@oracle.com, jomon.kunnel@oracle.com",,,A7S8QV,,C0823TX59S8,2024-10-30T13:24:55Z,christian.obando@oracle.com,christian.obando@oracle.com,,,,,
EmbedIT,Czechia,"Background
- EmbedIT is part of largest Czech investment firm PPF
- They run IT for many of their organisation
- EmbedIT is currently exploring become Cloud & AI provider not for own internal customers (500 firms) but become own Sovereign Cloud / AI provider (similar what STC, du and others did in MiddleEast)
- PPF Group (mother) recently made multi billion dollar exits is flashed with cash with more billions to come and is looking how to invest it EmbedIT will be essential part of their IT strategy 
- Their vision is to build own Cloud & AI provider (like AWS)
 
Ask
1. We need to better understand what AI and GPU services can be offered as part of DRCC and Alloy 
2. We need to understand how build Sovereign AI value prop to support why Oracle not Microsoft is the right partner

Note: we are already in touch with DRCC and Alloy team on infrastructure, I need now support on AI / GPU part and value prop and business case for Sovereign AI",$5M+,Complete,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,2024-10-31T17:30:58Z,jiri.kram@oracle.com,jiri.kram@oracle.com,,,,,
"Ericsson AB",EMEA,"client is seeking to evaluate and potentially enhance their existing data and analytics platform, which has been in operation for four years. they have successfully consolidated their data, analytics, AI/ML capabilities, and have begun to incorporate generative AI technologies.
they issued an RFI for this purpose",<=$500K,Complete,Discovery,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,,,,2024-10-23T18:24:01Z,shlomy.avi.ram@oracle.com,shlomy.avi.ram@oracle.com,,,,,
"Central Government of Greece",CEE/GCMB/Greece,"We need CoE support to articulate and propose solutions in the area of AI-driven Anti-Fraud measures for Taxation and Revenue services for the central government in cooperation with the Ministry of Finance and Ministry of Digital Governance. The customer is expected to roll out a modernized central taxation system which will be implemented by a partner (System Integrator) and will be employing Oracle Database. We need help to approach the customer and the partner and promote Oracle AI/GenAI use cases that would help augment the central government's capabilities to track and tackle financial crime and tax evasion.",<=$500K,Inactive,Qualification,"Tier 1 - Incoming Engagement",,"andreas.stellatos@oracle.com, mohammed.hafeez@oracle.com",,,,,,2024-11-01T10:08:20Z,stavros.fotiadis@oracle.com,stavros.fotiadis@oracle.com,,,,,
"Queen's University Belfast",Ireland,"Customer is looking for a workshop on AI for research. Looking at implemented a Trusted Research Environment (secured landing zone) and building on top of that with research projects.","<= $100K",Complete,Discovery,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, muhammad.k.manzoor@oracle.com",,,A7PNJW,,C0824ET4Q84,2024-11-04T10:55:30Z,leah.hadeed@oracle.com,leah.hadeed@oracle.com,,,,,
Compasity,Netherlands,"They have a solution that manages medial files.
I noted down a few angles:
chatting with content
they have a prototype (non Oracle DB) that they want to show and map it to Oracle
Customer is  aiming to develop the AI company doctor, working in a closed environment
Who can join me in a call to be planned with the customer ?","<= $100K",Inactive,Unqualified,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A7PVFM,,,2024-11-04T11:19:07Z,lore.dierickx@oracle.com,lore.dierickx@oracle.com,,,,,
"Telecommunications and Digital Government Regulatory Authority (TDRA)","Dubai, AE","Customer wants to deep dive into GenAI capabilities & then use cases on OCI. Specifically about GenAI Service, LLMs as part of GenAI Service (Meta Llama 3.x is a focus from their side), Dedicated AI Clusters & Fine Tuning as well as GenAI Assistant / Digital Assistant capabilities and our latest GenAI Agents offering and how they can be combined. 1st session has already taken place last week. Follow up meeting with customer is pending.",<=$500K,Inactive,Solutioning,"Tier 1 - Incoming Engagement",,"andreas.stellatos@oracle.com, mohammed.hafeez@oracle.com",,,A7JD9K,,,2024-11-04T15:40:59Z,andreas.stellatos@oracle.com,andreas.stellatos@oracle.com,,,,,
